# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, HMP, HEP, IDA, IGI, ISO, IGC, NAS, HGI, IPI, IEP, ISA, RCA, IC, HDA
# associations retrieved on: 2021-09-21 13:58:58-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:34-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 6330
# number of attributes: 14778
# NOTE: these associations have been restricted to the genes included
# in the user-supplied gene space.
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000002	mitochondrial genome maintenance	AKT3 OPA1
GO:0043235	receptor complex	ABHD12 ABHD6 ACVR1B ACVR2B AHR AIP B2M CACNG4 CAPRIN2 CD36 CR1L DDR1 EGFR EPS8 FGFR1 GFRA1 GPRC5C GRIA4 HSP90AB1 HSPD1 HTRA2 IGF1R IKBKB IL23R IL6ST ITGA6 ITGA8 ITGA9 ITGB1 ITGB3 ITGB4 ITPR2 LEPR LRP1 LRP1B LRP5 LYN MCOLN1 MUSK OLFM1 PLXNB1 PTPRA RAMP3 RIPK1 RNMT SACM1L SDCBP SKAP1 SMAD3 SORBS1 STXBP5 TAOK2 TGFBR3
GO:0043236	laminin binding	2300002M23RIK DAG1 ITGA6 ITGA9 ITGB1 LYPD3 NCL RPSA
GO:0043237	laminin-1 binding	DAG1
GO:0043240	Fanconi anaemia nuclear complex	FANCA FANCB FANCC FANCE FANCI FANCM
GO:0043241	protein complex disassembly	ARID1A ARID2 CFL1 CFL2 DDIT4 DSTN ETF1 HDAC6 HSPA8 KIF18A KIF24 KIF2C MICAL3 NAPA NEDD1 NRG1 NSF PEX14 SMARCA4 SMARCB1 SMARCC1 SMARCC2 SMARCD2 SMARCE1 SMN1 SPAST STMN1 SYNJ1 VIL1 VPS4A VPS4B WDR1
GO:0043242	negative regulation of protein complex disassembly	ADD1 APC CAPZA1 CAPZA2 CAPZB CFL1 CIB1 CKAP2 CLASP1 CLASP2 EML4 EPS8 EVL HDAC6 MAP1B MAP2 MID1 NAV3 RDX SCIN SHROOM2 SPECC1L SPTAN1 SPTBN1 SWAP70 TMOD3 TWF1 TWF2 VIL1
GO:0043243	positive regulation of protein complex disassembly	BNIP3 CFL1 CFL2 DSTN EIF5A IGF1R SEMA5A SETX VIL1 WDR1
GO:0043244	regulation of protein complex disassembly	ADD1 APC ASPH BNIP3 CAPZA1 CAPZA2 CAPZB CFL1 CFL2 CIB1 CKAP2 CLASP1 CLASP2 DSTN EIF5A EML4 EPS8 EVL HDAC6 IGF1R MAP1B MAP2 MID1 NAV3 RDX SCIN SEMA5A SETX SHROOM2 SPECC1L SPTAN1 SPTBN1 SWAP70 TMOD3 TWF1 TWF2 UPF1 VIL1 WDR1
GO:0043247	telomere maintenance in response to DNA damage	ACD RIF1 TERF2
GO:0043248	proteasome assembly	POMP PSMD10 PSMD11 PSMD5 PSMD9 PSMG1
GO:0043249	erythrocyte maturation	ERCC2 G6PDX L3MBTL3 MAEA PTBP3
GO:0043252	sodium-independent organic anion transport	MFSD10
GO:0043254	regulation of protein complex assembly	ABL1 ACTR2 ACTR3 ADD1 AHR ANKRA2 ANKRD27 APC ARF6 ARFGEF1 ARHGAP18 ARL2 ARPC1B ARPC2 ARPC3 ARPC4 ARPC5L ASAP1 ATAT1 ATF7IP BAG4 BAIAP2L1 BBS4 BCLAF1 BIK CAMSAP1 CAMSAP2 CAMSAP3 CAND1 CAPZA1 CAPZA2 CAPZB CD36 CDC42EP2 CDT1 CHMP1A CHMP2B CHMP5 CLASP2 CLIP1 CRBN CTNNB1 CTTN DCTN1 DDX3X DLG1 DNM1L EPS8 ESR1 EVL FAF1 FARP2 FER FHOD3 FMN1 FMN2 FNIP1 GDA GTF2F2 HAX1 HCFC1 HDAC6 HIP1R HJURP HNRNPU ICE1 INSIG1 INSM1 IQGAP2 KIF14 LAMP2 LATS1 LCMT1 LCP1 MAP1B MAPK8 MAPRE1 MED25 MTOR MYO1C NAPA NAV3 NCKAP1 NCKAP1L NCLN NIN NUMA1 PAK1 PALLD PARP1 PAXIP1 PECAM1 PEX14 PEX5 PFN1 PIEZO1 PLK1 PPM1A PREX1 PSEN2 PSRC1 PTPN11 RAB3GAP1 RAC1 RAF1 RASA1 RDX RGS2 RHOA RICTOR RIMS1 RIOK3 RNF4 RPS3 RRN3 SAR1A SCIN SEC24B SELP SENP6 SETX SH3GLB1 SLAIN2 SMC1A SMC3 SNX9 SORL1 SPIDR SPIRE1 SPIRE2 SPTAN1 SPTBN1 SRF STAG1 STAG2 STMN1 STUB1 STXBP1 SUMO1 TCL1 TERF1 TFIP11 TMOD3 TPR TRAF3IP1 TRIM27 TRIM30A TRP53 TWF1 TWF2 ULK1 UNC13B VCP VDAC2 VIL1 VPS35 VPS4B WARS WASL XAF1
GO:0043255	regulation of carbohydrate biosynthetic process	ACADM AKT1 AKT2 AP2A1 ARPP19 CLK2 CLTC EGF ESRRB FBP1 FOXO1 GFPT1 GRB10 HIF1A KAT2A LEPR MAEA MTOR NFKB1 NLN NR1D1 OGT PPP1CA PPP1CB PPP1R3D PRKG1 PTPN2 RANBP2 SIK1 SIRT1 SLC35B4 SORBS1 STK11 SUPT20 WDR5
GO:0043256	laminin complex	LAMA1 LAMA5 LAMB1 LAMC2
GO:0043257	laminin-8 complex	LAMB1
GO:0043259	laminin-10 complex	LAMA5 LAMB1
GO:0043262	adenosine-diphosphatase activity	ENTPD1
GO:0043266	regulation of potassium ion transport	AKAP7 ANK3 ANO6 ATF4 ATP1B3 DLG1 DNM2 DPP10 DPP6 FLNA HBP1 KCNH2 KCNQ1 KIF5B MIF NEDD4L NOS1 PRKG1 SUMO1 WWP2 YWHAE
GO:0043267	negative regulation of potassium ion transport	ANK3 ATF4 KCNH2 KCNQ1 NEDD4L NOS1 SUMO1
GO:0043268	positive regulation of potassium ion transport	AKAP7 ANO6 ATP1B3 DLG1 DNM2 DPP6 FLNA HBP1 KCNH2 KCNQ1 KIF5B MIF PRKG1
GO:0043269	regulation of ion transport	ABCB1A ABCB4 ABL1 ACSL4 AKAP7 AKT1 AKT2 AKT3 ANK3 ANO6 ARF1 ARG2 ARL6IP1 ASPH ATF4 ATG5 ATP1A1 ATP1B3 ATP2B4 ATP2C2 ATP7A ATP8A1 ATP8A2 B2M BDKRB1 CACNA1H CACNA2D3 CACNB2 CACNG4 CASK CFL1 CHD7 CHP1 CLIC4 CNTN1 COMMD1 CRBN CTNNB1 CXCR3 DBI DLG1 DMD DNM2 DPP10 DPP6 EGF ENTPD1 FGFR1 FKBP1A FLNA FMR1 GLRX GNAI2 GNAS GPD1L GPR35 HBP1 HTT IKBKB ITGB3 ITPR1 KCNH1 KCNH2 KCNH3 KCNK13 KCNMA1 KCNQ1 KIF5B LYN MAOB MIF MINK1 MTOR MYO5A NEDD4 NEDD4L NLGN1 NOS1 NOS1AP PARK7 PDPK1 PDZK1 PER1 PIK3C2A PLA2G6 PLCB1 PLCG2 PPP2CA PRELID1 PRKD1 PRKG1 PTPN22 PXK RAB3B RAB3GAP1 RELN REPIN1 RGN RHOA RIPK1 RTN4 SARAF SCN10A SERPINE2 SIK1 SLC25A4 SLC31A2 SLC9A1 SLC9A3 SLMAP SNX4 SRI STIM2 STOM STXBP1 SUMO1 SYT1 SYT7 TESC TGFB2 TMBIM6 TMEM109 TNFSF11 TOR1A TRIAP1 TRIM27 TRPA1 TRPC4 UBASH3B UBQLN1 USP2 VAMP8 WDR1 WFS1 WNK1 WNK2 WWP2 YWHAE YWHAQ ZP3
GO:0043270	positive regulation of ion transport	ABCB1A ABCB4 ABL1 AKAP7 AKT1 AKT2 AKT3 ANK3 ANO6 ARF1 ARL6IP1 ASPH ATP1B3 ATP2C2 ATP8A1 ATP8A2 B2M BDKRB1 CACNB2 CASK CFL1 CHP1 CNTN1 CXCR3 DBI DLG1 DMD DNM2 DPP6 FLNA GLRX GNAS GPD1L HBP1 HTT IKBKB ITPR1 KCNH2 KCNQ1 KIF5B MIF NEDD4L NOS1 PARK7 PDPK1 PDZK1 PLA2G6 PLCB1 PLCG2 PRELID1 PRKG1 RAB3B RAB3GAP1 RELN RGN RTN4 SLC25A4 SLC9A1 SNX4 SRI STIM2 STXBP1 SUMO1 TESC TNFSF11 TRIAP1 TRPA1 VAMP8 WFS1 WNK2 ZP3
GO:0043271	negative regulation of ion transport	ACSL4 AKT1 AKT2 ANK3 ATF4 ATP7A COMMD1 CRBN ENTPD1 FMR1 GPR35 KCNH2 KCNQ1 MAOB MTOR NEDD4 NEDD4L NOS1 PARK7 PIK3C2A PPP2CA PRKG1 PXK SERPINE2 SRI SUMO1 TGFB2 TMBIM6 TRIM27 UBQLN1 USP2 WNK1 YWHAE YWHAQ
GO:0043273	CTPase activity	DDX3X
GO:0043274	phospholipase binding	KAT5 LMNB1 PDPK1 PTPN11 SRSF3 STXBP1
GO:0043276	anoikis	E2F1 SIK1 STK11 TFDP1 TSC2
GO:0043277	apoptotic cell clearance	CD36 GAS6 ITGB3 JMJD6 LRP1
GO:0043278	response to morphine	ADA FADD GPI1 MTOR PPP1R9B PPP2R2A PPP5C
GO:0043279	response to alkaloid	ADA BCL2L1 BLM CDK5 FADD FANCB FKBP1A GPI1 MAPK1 MTOR NFKB1 PPP1R9B PPP2R2A PPP5C PRKAA1 PRKAA2 RAD51 RECQL5 RELA SMPD1 SPIDR
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	AIFM1 BCAP31 CASP8 CASP8AP2 DDX3X DNAJA3 FIS1 HIP1R HSF1 HSPD1 HTRA2 JAK2 KHDC1B MAP3K5 MUL1 NDUFA13 NLRC4 NLRP2 PDCD5 PDCD6 PPARG PPP2CA REST RHOA ROBO1 RPS27L RPS3 SENP1 SIRT1 SLC11A2 SMAD3 VCP XDH
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	AIFM1 AKT1 AKT2 ARL6IP1 BCAP31 BIRC5 CASP8 CASP8AP2 CDH1 CSNK2A1 DDX3X DNAJA3 DNAJB6 EP300 FIS1 FNIP1 GAS6 GPI1 GPX1 HIP1R HSF1 HSPD1 HTRA2 IGBP1 INTS1 JAK2 KHDC1B LAMTOR5 LEF1 MAP3K5 MDM2 MUL1 NDUFA13 NLRC4 NLRP2 PARK7 PAX2 PDCD5 PDCD6 POR PPARG PPP2CA REST RFFL RHOA RNF34 ROBO1 RPS27L RPS3 RPS6KA1 RPS6KA3 SENP1 SH3RF1 SIAH2 SIRT1 SLC11A2 SMAD3 TRIAP1 TRP63 USP47 VCP XDH
GO:0043292	contractile fiber	ABLIM2 ACTG1 DBI DEK MYH11 NEB NRAP PDE4DIP PECAM1 PPP1R12A PSMA6 TTN TWF1 TWF2
GO:0043295	glutathione binding	GSTA4 GSTM5 GSTP1 GSTP2 LANCL1 LTC4S
GO:0043296	apical junction complex	CCDC85C CDH1 CGN CGNL1 CTNNB1 PARD3 PKN2 RHOA SHROOM2 SHROOM3 TJP1
GO:0043297	apical junction assembly	CTNNA1 FBF1 PKN2 RHOA VCL WDR1
GO:0043299	leukocyte degranulation	CHGA KIT RAB27A
GO:0043300	regulation of leukocyte degranulation	ABR AP1G1 BCR CD177 D6WSU163E GAB2 LAMP1 LYN PDPK1 PLD2 SNX4 STXBP1 VAMP8
GO:0043301	negative regulation of leukocyte degranulation	ABR BCR
GO:0043302	positive regulation of leukocyte degranulation	AP1G1 CD177 GAB2 LAMP1 PLD2 SNX4 STXBP1 VAMP8
GO:0043303	mast cell degranulation	CHGA KIT
GO:0043304	regulation of mast cell degranulation	D6WSU163E GAB2 LYN PDPK1 PLD2 SNX4 STXBP1 VAMP8
GO:0043306	positive regulation of mast cell degranulation	GAB2 PLD2 SNX4 STXBP1 VAMP8
GO:0043313	regulation of neutrophil degranulation	ABR BCR CD177
GO:0043314	negative regulation of neutrophil degranulation	ABR BCR
GO:0043315	positive regulation of neutrophil degranulation	CD177
GO:0043316	cytotoxic T cell degranulation	RAB27A
GO:0043320	natural killer cell degranulation	RAB27A
GO:0043321	regulation of natural killer cell degranulation	AP1G1 LAMP1
GO:0043323	positive regulation of natural killer cell degranulation	AP1G1 LAMP1
GO:0043325	phosphatidylinositol-3,4-bisphosphate binding	AKT1 COMMD1 GAB2 HIP1R KIF16B MAPKAP1 PLEKHA1 SESTD1 ZFYVE1
GO:0043330	response to exogenous dsRNA	DDX1 DDX21 DDX58 DHX36 DHX9 FLOT1 MAPK1 MAPK3 MAVS MUL1 NFKBIA NOD2 RIPK2 SLC3A2
GO:0043331	response to dsRNA	DDX1 DDX21 DDX58 DHX36 DHX9 FLOT1 MAPK1 MAPK3 MAVS MUL1 NFKB1 NFKBIA NOD2 PELI1 RIOK3 RIPK2 SLC3A2
GO:0043353	enucleate erythrocyte differentiation	RB1
GO:0043366	beta selection	RHOA
GO:0043367	CD4-positive, alpha-beta T cell differentiation	ATP7A BRAF GATA3 LEF1 NCOR1 RC3H1 RORA SATB1
GO:0043368	positive T cell selection	BRAF SRF STK11
GO:0043369	CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	BRAF MTOR OTUD5 STAT3 STAT6
GO:0043370	regulation of CD4-positive, alpha-beta T cell differentiation	GATA3 IRF1 NCKAP1L RC3H1 RIPK2 SHB ZBTB7B
GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	IRF1 RC3H1 ZBTB7B
GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	IRF1 NCKAP1L RIPK2 SHB
GO:0043373	CD4-positive, alpha-beta T cell lineage commitment	MTOR OTUD5 STAT3 STAT6
GO:0043374	CD8-positive, alpha-beta T cell differentiation	IRF1 OTUD5 SATB1
GO:0043376	regulation of CD8-positive, alpha-beta T cell differentiation	NCKAP1L ZBTB7B
GO:0043378	positive regulation of CD8-positive, alpha-beta T cell differentiation	NCKAP1L
GO:0043379	memory T cell differentiation	TSC1
GO:0043383	negative T cell selection	ATG5 GLI3 MINK1
GO:0043385	mycotoxin metabolic process	NFE2L2
GO:0043387	mycotoxin catabolic process	NFE2L2
GO:0043388	positive regulation of DNA binding	ACD BRD4 CALM1 CTNNB1 EGF EP300 ERCC2 FOXC1 GATA3 GTF2B HIPK2 HMGB2 JAK2 KAT2A PARK7 PARP1 PDX1 PINX1 POU4F1 PPARG RB1 SKI SMARCA4 TRIM28 TXN1
GO:0043392	negative regulation of DNA binding	E2F1 HDAC2 HSPA4 JAK2 LEF1 MAD2L2 NEK2 PSEN1 RSF1 SIN3A SIRT1 SRI SUMO1 SUMO3 TAF1 TNKS
GO:0043393	regulation of protein binding	ABL1 ABL2 ACTB ACTR3 ADD1 AKTIP AMFR APLP2 ARHGEF7 ATR AURKA B2M CAPRIN2 CD36 CDC42 CDK5 CRBN CRK CSNK1E DAB2 DDX11 DISC1 DUT EP300 EPHB6 FKBP1A FLOT1 GAS8 GOLGA2 GTPBP4 HDAC4 HIP1R HIPK2 HNRNPK HSF1 HSP90AB1 HSPA4 ICA1 ITGB1BP1 KDM1A LEF1 LRP1 MAP1LC3B MAPK3 MAPK8 MAPRE1 MITD1 NMD3 PACS1 PARK7 PCBD1 PEX14 PHLDA2 PLCL1 PLK1 PSEN1 PSEN2 PTPRF RAN RAPGEF2 RIPK2 ROCK1 RPL11 RUVBL2 SNAPIN SORL1 STK3 STUB1 TAF1 TERT TEX14 TFIP11 TGFBR3 TIAM1 TMBIM6 TRAF4 UBASH3B UFL1 USP33
GO:0043394	proteoglycan binding	CTSB MFN2 PSG17 PTPRF SEMA5A
GO:0043395	heparan sulfate proteoglycan binding	PSG17 SEMA5A
GO:0043397	regulation of corticotropin-releasing hormone secretion	TNFSF11
GO:0043398	HLH domain binding	SIRT1 UBE2I
GO:0043401	steroid hormone mediated signaling pathway	ABHD2 ESR1 ESR2 ESRRB NR1D1 NR1H2 NR2C1 NR2E1 NR2E3 NR5A2 NR6A1 PPARD PPARG RORA
GO:0043403	skeletal muscle tissue regeneration	BIN3 GPX1 IFRD1 NACA PKM
GO:0043405	regulation of MAP kinase activity	AKAP13 AXIN1 CDK12 CSK DAB2 DNAJA1 DUSP1 DUSP10 DUSP19 DUSP7 DVL2 DVL3 EGF EGFR EPHA4 ERCC6 ERN1 ERP29 EZH2 FGFR1 GRM4 GSTP1 HGS HMGCR INPPL1 IQGAP1 IQGAP3 KARS KIT KRAS LYN MADD MAGI3 MAP2K1 MAP2K4 MAP3K10 MAP3K11 MAP3K4 MAP3K5 MAP4K2 MAPK8IP3 MIF MOS MUC20 MUL1 NF1 NOD2 NUP62 PAK1 PDCD10 PLCE1 PRDX2 PSEN1 PTPN11 PTPN22 PTPRJ PXN RGS2 ROBO1 RPS3 SASH1 SHC1 SMPD1 SOD1 SORL1 SPRED2 SPRY1 SPRY4 STK38 TAOK3 TGFB3 TIAM1 TNFSF11 TRP73 TSC2 TSG101 UCHL1
GO:0043406	positive regulation of MAP kinase activity	AKAP13 AXIN1 CSK DAB2 DUSP19 DVL2 DVL3 EGF EGFR EPHA4 ERCC6 ERN1 ERP29 EZH2 FGFR1 GRM4 IQGAP1 IQGAP3 KARS KIT KRAS MADD MAGI3 MAP2K1 MAP2K4 MAP3K10 MAP3K11 MAP3K4 MAP3K5 MAP4K2 MAPK8IP3 MIF MOS MUC20 MUL1 NOD2 PAK1 PDCD10 PLCE1 PRDX2 PSEN1 PTPN11 PXN ROBO1 RPS3 SASH1 SHC1 SOD1 TAOK3 TGFB3 TIAM1 TNFSF11 TRP73
GO:0043407	negative regulation of MAP kinase activity	DNAJA1 DUSP1 DUSP10 DUSP19 DUSP7 GSTP1 HMGCR INPPL1 LYN NF1 NUP62 PTPN22 PTPRJ RGS2 SMPD1 SORL1 SPRED2 SPRY1 SPRY4 STK38 TRP73 TSC2 UCHL1
GO:0043408	regulation of MAPK cascade	ABL1 ABL2 AKAP13 AKT1 ANKRD26 APC APIP ASH1L ATP6AP1 ATP6AP2 AXIN1 BNIP2 BRAF CD36 CDC42 CDH2 CDK12 CIB1 COPS5 CSK CTNNB1 DAB2 DAG1 DLG1 DMD DNAJA1 DSTYK DUSP1 DUSP10 DUSP19 DUSP7 DVL2 DVL3 E130311K13RIK ECE1 EFNA1 EGF EGFR EIF3A EPHA4 ERCC6 ERN1 ERP29 ERRFI1 ESR1 ESR2 EZH2 FAM83D FGF8 FGF9 FGFR1 FGFR2 FLCN FOXM1 FOXO1 GAS6 GATA4 GNAI2 GPNMB GPS2 GRM4 GSTP1 HDAC3 HGS HIPK2 HMGB1 HMGCR HSPH1 IGBP1 IGF1R INPPL1 IQGAP1 IQGAP3 ITCH ITGB1 ITGB1BP1 ITGB3 JAK2 KARS KIT KRAS KSR1 KSR2 LAMTOR1 LAMTOR2 LAMTOR3 LEPR LMNB1 LYN MADD MAGI3 MAP2K1 MAP2K4 MAP3K10 MAP3K11 MAP3K4 MAP3K5 MAP4K2 MAP4K4 MAPK1 MAPK3 MAPK8IP3 MAPKBP1 MID1 MIF MINK1 MOS MUC20 MUL1 NBR1 NCOR1 NDRG4 NECAB2 NF1 NF2 NOD2 NPFFR2 NRP1 NUP62 PAFAH1B1 PAK1 PBK PDCD10 PDE8A PEBP1 PER1 PHB PHB2 PKHD1 PLCB1 PLCE1 PRDX1 PRDX2 PRKD2 PRMT1 PRMT5 PSAP PSEN1 PSMD10 PTPN11 PTPN2 PTPN22 PTPRJ PTPRR PXN RAF1 RAMP3 RANBP9 RAP1A RAP1B RAPGEF1 RAPGEF2 RB1CC1 RGS2 RIPK1 RIPK2 ROBO1 RPS3 RPS6KA6 RYK SASH1 SH3RF1 SHC1 SMAD4 SMPD1 SOD1 SORL1 SPRED2 SPRY1 SPRY4 STK25 STK3 STK38 TAOK1 TAOK2 TAOK3 TGFB2 TGFB3 TIAM1 TNFSF11 TNIK TNIP1 TRAF4 TRAF7 TRP73 TSC2 TSG101 UCHL1 VRK3 WNK2 WWC1 XDH ZMYND11
GO:0043409	negative regulation of MAPK cascade	ABL1 AKT1 ANKRD26 APC ASH1L CSK DAB2 DAG1 DLG1 DMD DNAJA1 DUSP1 DUSP10 DUSP19 DUSP7 E130311K13RIK EFNA1 EIF3A ERRFI1 FLCN FOXM1 FOXO1 GPS2 GSTP1 HDAC3 HMGCR HSPH1 IGBP1 IGF1R INPPL1 ITCH ITGB1BP1 LYN NCOR1 NF1 NF2 NUP62 PAFAH1B1 PBK PEBP1 PER1 PHB PSMD10 PTPN2 PTPN22 PTPRJ PTPRR RANBP9 RAPGEF1 RGS2 RPS6KA6 SMAD4 SMPD1 SORL1 SPRED2 SPRY1 SPRY4 STK38 TAOK3 TNIP1 TRP73 TSC2 UCHL1 VRK3 WNK2 ZMYND11
GO:0043410	positive regulation of MAPK cascade	ABL1 ABL2 AKAP13 ATP6AP1 AXIN1 BNIP2 BRAF CD36 CDC42 CDH2 CIB1 CSK CTNNB1 DAB2 DSTYK DUSP19 DVL2 DVL3 EFNA1 EGF EGFR EPHA4 ERCC6 ERN1 ERP29 ESR1 ESR2 EZH2 FGF8 FGF9 FGFR1 FGFR2 GAS6 GATA4 GNAI2 GPNMB GRM4 HIPK2 HMGB1 HMGCR IGF1R IQGAP1 IQGAP3 ITGB1 ITGB3 JAK2 KARS KIT KRAS KSR1 KSR2 LAMTOR1 LAMTOR2 LAMTOR3 LEPR LMNB1 MADD MAGI3 MAP2K1 MAP2K4 MAP3K10 MAP3K11 MAP3K4 MAP3K5 MAP4K2 MAPK3 MAPK8IP3 MAPKBP1 MID1 MIF MINK1 MOS MUC20 MUL1 NDRG4 NECAB2 NOD2 NRP1 PAK1 PDCD10 PDE8A PHB PHB2 PLCB1 PLCE1 PRDX2 PRKD2 PRMT1 PSAP PSEN1 PTPN11 PTPN22 PXN RAF1 RAMP3 RAP1A RAP1B RAPGEF1 RAPGEF2 RB1CC1 RIPK1 RIPK2 ROBO1 RPS3 RYK SASH1 SHC1 SOD1 STK25 STK3 TAOK1 TAOK2 TAOK3 TGFB2 TGFB3 TIAM1 TNFSF11 TNIK TRAF4 TRAF7 TRP73 WWC1 XDH
